u_z_regulator,Var2
Rv0001,0.0316628488604
Rv0117,0.0583325558100564
Rv0182c,0.0584003656763159
Rv0212c,0.0391897190722829
Rv0260c,0.0584003656764067
Rv0348,0.0257648672135847
Rv0353,0.0584003656764067
Rv0445c,0.0583476017682431
Rv0465c,0.0584003656764067
Rv0485,0.0470604888464872
Rv0491,0.0167366901635209
Rv0494,0.0154589203260953
Rv0576,0.0584003656764067
Rv0586,0.0584003656764067
Rv0602c,0.0584003656763635
Rv0757,0.0204837103518093
Rv0792c,0.0584003656764067
Rv0818,0.0584003656764067
Rv0823c,0.0583669543200718
Rv0844c,0.0584003656763411
Rv0981,0.018701240696694
Rv1027c,0.0584003656764067
Rv1033c,0.0584003656764067
Rv1221,0.0172328947953202
Rv1267c,0.0584003656762725
Rv1287,0.0584003656764067
Rv1316c,0.0584003656764067
Rv1359,0.0583797212611105
Rv1379,0.0305906677356504
Rv1395,0.0315936404495094
Rv1475c,1.24731414656133e-06
Rv1657,0.0136564819805814
Rv1675c,0.0584003656764067
Rv1785c,0.0584003656764067
Rv1846c,0.0430702696863154
Rv1909c,0.0583941957086683
Rv1931c,0.0581294211511073
Rv1956,0.0583349769275282
Rv1963c,0.0484173971846747
Rv1985c,0.0583960176471702
Rv1994c,0.0584003656764067
Rv2017,0.0584003656764067
Rv2021c,0.0583638482823878
Rv2034,0.0582803277853749
Rv2069,0.0269069747675995
Rv2166c,0.0108784994887338
Rv2175c,0.0584003656764067
Rv2213,0.0293299614292442
Rv2359,0.0191886915798153
Rv2374c,0.0584003656764067
Rv2704,0.0584003656764067
Rv2710,0.00973339428130388
Rv2711,0.036070814093514
Rv2718c,0.0533220730088506
Rv2720,0.045851526770696
Rv2745c,0.0584003656764067
Rv2788,0.0584003656764067
Rv3002c,0.0583960176471369
Rv3003c,0.0583960176471688
Rv3080c,0.0584003656764067
Rv3082c,0.0584003656764067
Rv3133c,0.0583194519512202
Rv3164c,0.0584003656764067
Rv3223c,0.00584003656763602
Rv3246c,0.0584003656764067
Rv3279c,0.0584003656763557
Rv3286c,0.0197530648632721
Rv3291c,0.0292001828538012
Rv3328c,0.0584003656764067
Rv3334,0.0584003656762112
Rv3414c,0.0584003656764067
Rv3416,0.0583358394776062
Rv3557c,0.0584003656764067
Rv3574,0.0536485793960764
Rv3575c,0.0119976582053353
Rv3676,0.0155734308503379
Rv3678c,0.0584003656764067
Rv3681c,0.0584003656764067
Rv3692,0.0584003656764067
Rv3744,0.0584003656764067
Rv3849,0.0584003656764067
Rv3911,0.00770114712215739
